Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
1757,619193,Rehabilitation and upgradation of NH-221 from km 121/0 to 165/0 Rudrampur to Bhadrachalam section to two lane with paved shoulder under NHDPIV in the state of Telangana through EPC mode,MoRTH,Telangana,01/2015,02/2015,02/2017,05/2026,295.47,334.82,375.14,82.76,Aviation & Aviation Infrastructure
1758,619253,Construction of 4 lane Bypass to Nalgonda Town lrorn Km 000 Existing Ch. 181590 to Km 14.00 Existing Ch. 28/685 ol Nakrekal to Nagarjunsagar Section of NH -565 in the State of Telangara on EPC under Annual Plan 2024 -25,MoRTH,Telangana,10/2024,10/2025,10/2027,-,516.17,516.17,0.0,43.13,Aviation & Aviation Infrastructure
1759,618350,Improvement & widening of existing NH-08 to 4-lane with Paved Shoulder from Champak Nagar to Khayerpur section design Km 242500 to Km 261610 in the state of Tripura on EPC basis under NHO-NE,NHIDCL,Tripura,12/2023,09/2024,09/2026,03/2027,920.66,920.66,0.0,43.8,Aviation & Aviation Infrastructure
1760,618367,Improvement and Widening to 2-lane with paved shoulder of road from design Km 72.000 Pati Chhari to design Km 107.654 Harina Total length 35.654 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-4,NHIDCL,Tripura,01/2024,12/2024,12/2026,12/2026,726.9,726.9,194.74,8.65,Aviation & Aviation Infrastructure
1761,618368,Improvement and Widening to 2-lane with paved shoulder of road from design Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-3,NHIDCL,Tripura,01/2024,09/2024,09/2026,09/2026,670.9,670.9,0.0,14.0,Aviation & Aviation Infrastructure
1762,618369,Improvement and Widening to 2-lane with paved shoulder of road from existing Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-08 and from design Km 0.000 South Pulinpur to design Km 36.00 near Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2,NHIDCL,Tripura,01/2024,09/2024,09/2026,09/2026,657.21,657.21,0.0,57.95,Aviation & Aviation Infrastructure
1763,618370,Improvement and Widening to 2-lane with paved shoulder of road from Km 101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-Amarpur-Harina- Sabroom section of NH 208 in the state of Tripura on EPC under JICA ODA Loan Phase VI Package-1,NHIDCL,Tripura,01/2024,07/2024,07/2026,12/2026,431.78,431.78,0.0,58.12,Aviation & Aviation Infrastructure
1764,618385,Rehabilitation and up-gradation of road from design km 25.250 to km 36.460 Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane with paved shoulder on EPC basis under NHO Package-III- Balance Work,NHIDCL,Tripura,02/2020,09/2024,03/2026,03/2026,174.43,174.43,0.0,41.9,Aviation & Aviation Infrastructure
1765,618386,Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved shoulder on EPC bais under NHO,NHIDCL,Tripura,02/2020,07/2020,01/2022,10/2024,277.5,302.03,0.0,0.0,Aviation & Aviation Infrastructure
1766,618411,Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km,NHIDCL,Tripura,01/2023,05/2023,11/2024,06/2026,195.95,195.95,86.26,69.78,Aviation & Aviation Infrastructure
1767,618417,Construction of 4-Lane with paved shoulder Agartala bypass Western side length 25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the state of Tripura on EPC basis under NHO-NE,NHIDCL,Tripura,03/2023,03/2024,03/2027,03/2027,2026.05,2026.05,292.55,9.2,Aviation & Aviation Infrastructure
1768,617957,Construction of Jasra Bypass with four lane paved shoulder configurationfrom Km 379.670 on NH-76New NH-35 to Km 18.00 on NH-27New NH-30 on EPC in the State of Uttar Pradesh.,MoRTH,Uttar Pradesh,02/2023,03/2024,09/2025,-,274.06,274.06,0.0,91.85,Aviation & Aviation Infrastructure
1769,617963,Rehabilitation and upgradation to four lane road from km 70.500 to km 78.600 of NH- 92 under EPC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,01/2022,01/2025,01/2027,07/2027,296.02,351.78,0.0,35.0,Aviation & Aviation Infrastructure
1770,617964,Widening to Four Lane rigid pavement configuration from Km 90.00 to Km 100.800 on NH-96 Km 42.0 to Km 53.300 as per new NH-330design length of 11.300 km under EPC mode in the state of Uttar Pradesh.,MoRTH,Uttar Pradesh,12/2022,11/2024,11/2026,11/2026,309.63,309.63,32.4,25.0,Aviation & Aviation Infrastructure
1771,618008,Construction of four-lane elevated viaduct from km.4634 to km.6345 on NH-24A including Retaining wall service lane at grade road and improvement of junctions on EPC mode,MoRTH,Uttar Pradesh,03/2021,03/2022,09/2023,12/2024,185.09,269.81,175.09,100.0,Aviation & Aviation Infrastructure
1772,618009,Balance work of Construction of Ring Road for Raebareli City on eastern side of NH- 24B Phase-1 on EPC mode.,MoRTH,Uttar Pradesh,12/2019,10/2020,04/2022,06/2026,319.96,347.8,0.0,95.0,Aviation & Aviation Infrastructure
1773,618054,Construction of Balrampur bypass with 2L flexible pavement configuration from km.223.000 of NH-330 to km.328.300 of NH-730 under EPC mode,MoRTH,Uttar Pradesh,12/2022,08/2024,02/2026,08/2026,515.69,515.69,104.56,46.0,Aviation & Aviation Infrastructure
1774,618055,Construction of Pratapgarh Bypass Extension connecting NH-31 to NH-330 on EPC mode in the State of Uttar Pradesh.,MoRTH,Uttar Pradesh,10/2022,01/2024,06/2025,06/2026,225.17,225.17,0.0,73.0,Aviation & Aviation Infrastructure
1775,618056,Improvement and Up-gradation to two Lane with Paved Shoulder Configuration from existing km. 420.00 Shohrathgarh to km. 454.00 Uska Bazar of NH-730 in the state of Uttar Pradesh EPC basis,MoRTH,Uttar Pradesh,01/2022,03/2024,09/2025,12/2026,509.65,484.42,98.47,56.0,Aviation & Aviation Infrastructure
1776,618057,Construction of Shohratgarh Bypass on NH-730 under EPC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,10/2022,11/2023,05/2025,12/2026,189.31,189.31,0.0,49.22,Aviation & Aviation Infrastructure
1777,618063,Widening & Strenghteningof section from Bharthana chowk to Kodarkoot km.0.00 to km.40.00 of NH-91-A on EPC mode,MoRTH,Uttar Pradesh,03/2020,03/2023,09/2024,06/2026,262.37,343.77,112.46,92.0,Aviation & Aviation Infrastructure
1778,618066,Construction of Amethi bypass Part-II at km.30.050 of NH-931 under EPC mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,12/2022,02/2025,02/2027,02/2027,283.86,283.86,24.5,43.0,Aviation & Aviation Infrastructure
1779,618067,Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering Procurement & Construction EpC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,05/2023,11/2025,11/2027,11/2027,1086.3,1086.3,0.0,4.0,Aviation & Aviation Infrastructure
1780,618075,Construction of two lane with paved shoulder from existing Km.0.000 to Km.55.610 design km. 0.000 to km. 54.048 of NH-124D,MoRTH,Uttar Pradesh,12/2021,02/2024,02/2026,06/2026,840.93,773.58,167.6,64.0,Aviation & Aviation Infrastructure
1781,618081,Construction of Mariahu Bypass with four lane paved shoulder configuration Km. 53.540 to Km.59.200 of NH-135A on EPC mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2023,02/2024,02/2026,06/2026,438.24,362.39,0.0,52.0,Aviation & Aviation Infrastructure
1782,618082,Widening & Upgradation to four lane configuration from Km.34.900 Bhadohi to km.73.134 Jaunpur of NH-135A on EPC mode,MoRTH,Uttar Pradesh,03/2021,11/2022,05/2024,06/2026,395.62,392.03,0.0,94.0,Aviation & Aviation Infrastructure
1783,618110,Improvement and upgradation to two lane with Paved Shoulder configuration from existing km 55.00 to km 90.00 Design length 34.76 of NH-227A near Chhapia Village to near Sikriganj in the State of UP on EPC Mode.,MoRTH,Uttar Pradesh,11/2021,11/2022,05/2024,07/2025,307.11,307.11,125.88,0.0,Aviation & Aviation Infrastructure
1784,618111,Improvement and upgradation to two lane with paved shoulder configuration from existing km 90.00 to 130.00 Design length 39.15 of NH-227A near Sikriganj to Barhalganj in the State of UP on EPC Mode.,MoRTH,Uttar Pradesh,08/2021,12/2023,06/2025,05/2026,403.36,345.34,0.0,94.0,Aviation & Aviation Infrastructure
1785,618112,Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package I from km 228.920 Jagarnathpur to Km 235.960/0.000 MakhaudaDham to Km 29.000 Sarpur in the State of Uttar Pradesh on EPC basis,MoRTH,Uttar Pradesh,03/2022,05/2025,11/2026,11/2026,912.5,912.5,0.0,3.0,Aviation & Aviation Infrastructure
1786,618113,Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package III from Km.47.800 Gosaiganj to Km.73.300 Bikapur in the State of Uttar Pradesh on EPC basis.,MoRTH,Uttar Pradesh,03/2022,05/2025,11/2026,11/2026,587.97,587.97,37.42,28.0,Aviation & Aviation Infrastructure
1787,618114,Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg PackageV from Design Km.140.960 Patranga to Km.160.200 Bahuvan Madar Majha on EPC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2023,02/2026,08/2028,08/2028,1192.33,1192.33,0.0,0.0,Aviation & Aviation Infrastructure
1788,618116,lmprovement and Up-gradation from Km. 73.300 Bikapur to Km.140.960 Patranga of NH-227B 84 Kosi Parikrama Marg to 2LPS along with Parikrama Path,MoRTH,Uttar Pradesh,11/2022,01/2026,01/2028,01/2028,1679.75,1679.75,66.99,25.4,Aviation & Aviation Infrastructure
1789,618124,Rehabilitation and upgradation from km 51.600 to km 75.700 of NH-321G Nuhkhas to Etah section to two lane with paved shoulder configuration under EPC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,01/2022,02/2024,08/2025,06/2026,343.54,343.54,75.71,65.0,Aviation & Aviation Infrastructure
1790,618162,Improvement and up-gradation to 2LPS of NH-227B 84-Kosi Parikrama Marg PackageVI Design Km 160200 Bahuvan Madar Majha to Km 224040 Jagarnathpur under HAM,MoRTH,Uttar Pradesh,05/2023,01/2026,01/2028,01/2028,2008.7,2008.7,0.0,5.0,Aviation & Aviation Infrastructure
1791,618163,Rehabilitation and Up-gradation from km. 0000 to km.40390 of NH-730S MaharajganjNichloulThuthibari to two lane with paved shoulders in the State of U.P. on Engineering Procurement & Construction EPC Basis.,MoRTH,Uttar Pradesh,03/2023,06/2024,12/2025,12/2026,809.25,603.19,0.0,58.0,Aviation & Aviation Infrastructure
1792,618164,Construction of four lane highway with paved shoulder from Km.74.700 to Km.112.950 of NH-731A i/c Yamuna Bridge on HAM in the state of Uttar Pradesh.,MoRTH,Uttar Pradesh,03/2022,06/2024,06/2026,06/2026,1141.67,1157.31,0.0,85.0,Aviation & Aviation Infrastructure
1793,618165,Construction of 4-lane highway with paved shoulders from Km 49.155 to Km 74.700 of NH-731A on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,01/2022,02/2024,01/2026,06/2026,1156.72,1156.72,0.0,98.0,Aviation & Aviation Infrastructure
1794,618166,Construction of 4-lane green field highway from Km. 35.000 to Km. 49.155 of NH- 731A with paved shoulders on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,01/2022,10/2023,10/2025,06/2026,697.66,697.66,0.04,99.0,Aviation & Aviation Infrastructure
1795,618167,Rehabilitation & Upgradation of NH-731A from Km.0.00 to Km.35.00 to 2-lane with paved shoulder under EPC mode,MoRTH,Uttar Pradesh,03/2021,08/2022,08/2023,05/2026,264.86,264.86,0.0,93.0,Aviation & Aviation Infrastructure
1796,618168,Widening to four lane with paved shoulder from Design Km.49.200 to Km.89.285 of NH-731B on EPC mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2022,01/2024,01/2026,01/2027,917.91,965.3,128.0,56.0,Aviation & Aviation Infrastructure
1797,618169,Construction of Two Lane with paved shoulder highway from Design Ch.0.000 to Ch.49.2OO of NH-731B on EPC Mode,MoRTH,Uttar Pradesh,03/2022,11/2023,11/2025,07/2026,640.18,602.76,239.2,95.98,Aviation & Aviation Infrastructure
1798,618187,Rehabilitation and upgradation of Salon - Jais - Jagdishpur Road section of NH-931A from design Chainage km 0.000 to km 5.740 to four lane divided carriageway and from design Chainage km 5.740 to km 53.500 to two lane with paved Total length km 53.500 along with One time improvement in 04 no's of realigned/bypassed built-up areas in a total length of 9.732 km in the state of Uttar Pradesh on EPC mode,MoRTH,Uttar Pradesh,05/2023,10/2025,10/2027,10/2027,947.15,947.15,0.0,4.0,Aviation & Aviation Infrastructure
1799,618229,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Near Karri village-Etawah section Km30.000 to Km 57.346 Pakage-II of NH-92 in state of Uttar Pradesh undergreen national Highway Corridor ProjectGNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,Uttar Pradesh,04/2020,08/2022,02/2024,02/2025,211.09,206.56,0.0,100.0,Aviation & Aviation Infrastructure
1800,618233,Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,MoRTH,Uttar Pradesh,07/2018,02/2021,02/2024,09/2026,1948.25,1465.41,0.0,87.91,Aviation & Aviation Infrastructure
1801,618240,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar- naer Karri village section Km0.00 to Km30.00 Pakage-I of NH-92 in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,Uttar Pradesh,04/2020,09/2022,03/2024,06/2026,236.47,236.47,0.0,90.0,Aviation & Aviation Infrastructure
1802,618243,Construction of Basti Ring Road Phase-I with 4L configuration for Basti City in the state of Uttar Pradesh on HAM mode,MoRTH,Uttar Pradesh,12/2022,06/2025,06/2027,06/2027,1138.72,1138.72,0.0,27.0,Aviation & Aviation Infrastructure
1803,618244,Construction of Raebareli Ring Road Phase-2 with four Lane configuration for Raebareli City in the state of Uttar Pradesh on Hybrid Annuity Model HAM basis,MoRTH,Uttar Pradesh,03/2022,05/2025,05/2027,05/2027,1273.72,1273.72,0.0,44.37,Aviation & Aviation Infrastructure
1804,618247,Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km 0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.,MoRTH,Uttar Pradesh,03/2024,01/2026,01/2029,01/2029,1708.62,1708.62,0.0,2.0,Aviation & Aviation Infrastructure
1805,618248,Widening to 4 lane from km. 139.00 to km 179.20 of NH-135A Pkg-III Jaunpur Akbarpur section and Akbarpur bypass on Hybrid Annuity Mode in the state of Uttar Pradesh.,MoRTH,Uttar Pradesh,05/2023,01/2026,01/2028,01/2028,1653.15,1653.15,0.0,10.0,Aviation & Aviation Infrastructure
1806,618249,Widening to 4 lane from km. 108.50 to km 139.00 of NH-135A Pkg-II Jaunpur Akbarpur section on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2023,03/2025,03/2027,03/2027,1511.57,1511.57,0.0,32.0,Aviation & Aviation Infrastructure
1807,618252,Improvement and Up-gradation to two Lane with Paved Shoulder/Four Lane configuration from existing Km 130.000 to Km 191.000 design km 131.500 to Km 188.735 Design length 57.235 Km of NH-227A near Barhalganj to Mehrauna Ghat in the state of Uttar Pradesh on Hybrid Annuity Model HAM basis,MoRTH,Uttar Pradesh,01/2022,11/2024,05/2027,05/2027,974.19,1344.61,0.82,48.0,Aviation & Aviation Infrastructure
1808,618260,Construction of Salempur bypass to 4LPS from km 64.000 of NH-727A Km 171.00 of Sonauli Balia Marg old SH-01 near Mahadahan Chauraha to km 61.500 of NH-727B Km 178.500 of Sonauli Balia Marg old SH-01 near near Ahirauli Village under Hybrid Annuity Mode HAM in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2022,11/2025,11/2027,11/2027,1348.06,1348.06,0.0,25.0,Aviation & Aviation Infrastructure
1809,618262,Construction of Deoria Bypass from existing Km. 27.140 to existing Km. 46.780 Design Km. 49.109 on NH727A Design length 21.969 Km. to four lane with paved shoulder configuration under Hybrid Annuity Mode HAM in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2023,08/2025,07/2027,07/2027,1734.7,1734.7,0.0,10.0,Aviation & Aviation Infrastructure
1810,618263,Rehabilitation and Up-gradation to 2LPS from Km. 0.000 to Km. 7.800 and Km. 35.400 to Km. 52.345 Design length 24.745 Km. except Bihar portion of NH-727B Tamkuhiraj to Bihar Border and Bihar Border to Majhauli on EPC mode in the State of Uttar Pradesh,MoRTH,Uttar Pradesh,03/2023,01/2025,07/2026,07/2026,701.02,701.02,0.0,81.18,Aviation & Aviation Infrastructure
1811,618264,Widening and Strengthening to two Lane with Paved Shoulder/Four Lane with paved shoulder configuration from km. 61.500 of NH-727B near Nawalpur km 178.500 of Sonauli Balia Marg Old SH-01 i.e. end point of Salempur Bypass to km. 106.495 of NH-727B near Sikanderpur under EPC mode,MoRTH,Uttar Pradesh,05/2023,12/2025,05/2028,05/2028,2061.86,2061.86,0.0,25.0,Aviation & Aviation Infrastructure
1812,618265,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Miranpur Katra to radhaita section of NH-730CKm.114.000 to Km 137.250pakage-III in state of Uttar Pradesh undergreen national Highway Corridor ProjectGNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,Uttar Pradesh,04/2020,07/2022,07/2024,06/2026,172.5,169.56,0.0,89.0,Aviation & Aviation Infrastructure
1813,618266,Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar- Allahaganj- section of NH-730C Km.0.000 to Km 52.770 pakage-I in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,Uttar Pradesh,04/2020,11/2022,11/2024,06/2026,325.24,340.16,0.0,98.0,Aviation & Aviation Infrastructure
