Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
521,N24001395,KHELLANI-KHANABAL PKG-4,NHIDCL,GOA,7-2021,8/2023,Dec-2025,859.67,-,190.91,44.02,POWER
522,N24001396,KHELLANI-KHANABAL PKG-5,NHIDCL,GOA,7-2021,2/2023,Mar-2025,497.09,-,172.85,88.04,POWER
523,N24001397,GOHA-KHELLANI PKG-3,NHIDCL,GOA,2-2021,3/2023,Feb-2025,431.28,433.08,372.31,100.00,POWER
524,N24001472,BALANCE WORKS OF FOUR LANING FROM RAMBAN KM 151.00 TO BANIHAL KM 187.00 OF NH-1A (NOW NH-44) WITH VA,NHAI,GOA,9-2021,12/2023,Jun-2024,811.19,-,848.57,99.00,POWER
525,N24001511,CONSTRUCTION OF FOUR LANE RINGROAD BYPASS SRINAGAR CITY,NHAI,GOA,3-2021,2/2024,Oct-2025,"2,919.96",-,"2,317.82",70.00,POWER
526,N24001543,FOUR LANING OF JAMMU-AKHNOOR PKG-1,NHIDCL,GOA,7-2022,1/2025,-,245.34,-,57.03,38.48,POWER
527,N24001550,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XVI) EXISTING JAKH (VIJAYPUR)-KUNJWANI SECTION OF NH-4,NHAI,GOA,9-2021,9/2024,Dec-2025,"1,821.72","1,917.32","1,005.35",83.21,POWER
528,N24001551,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XIV) FROM JUNCTION WITH PATHANKOT-GURDASPUR ROAD (NH-5,NHAI,GOA,10-2021,9/2024,Dec-2025,"3,044.02","3,044.02","1,586.31",70.95,POWER
529,N24001552,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XV) [JUNCTION WITH HIRANAGAR ROAD NEAR VILLAGE GURHA B,NHAI,GOA,10-2021,9/2024,Feb-2026,"2,714.95","2,714.95","1,642.02",85.37,POWER
530,N24001619,CORRIDOR EFFICIENCY IMPROVEMENT INCLUDING REMOVAL OF BLACK SPOTS IN LAKHANPUR - SAMBA SECTION OF NH-,NHAI,GOA,8-2022,6/2024,Jun-2025,200.05,200.05,153.05,58.60,POWER
531,N24001620,CONSTRUCTION OF TUNNELS/VIADUCTS AT IDENTIFIED SLIDING/SLIP ZONES AT KM 130.550 TO KM.130.750; KM.,NHAI,GOA,9-2021,10/2023,Dec-2025,442.14,-,341.75,19.88,POWER
532,N24001621,"4L OF KM.165.092 TO KM.171.855 (NORTH BOUND) AND FROM KM.166.895 TO KM.173.638 (SOUTH BOUND), EXCL.",NHAI,GOA,7-2021,8/2024,Jun-2025,614.48,-,187.59,7.00,POWER
533,N24001622,4L TWIN TUBE TUNNEL INCLUDING APPROACHES FROM DIGDOL TO KHUNI NALLAH (NORTH BOUND CONNECTING WITH EX,NHAI,GOA,7-2021,6/2024,Jun-2025,"1,401.87",-,734.56,N.A.,POWER
534,N24001623,BANIHAL BYPASS (DELINKED FROM SRINAGAR - BANIHAL) FROM KM. 187.00 TO KM. 189.350,NHAI,GOA,1-2020,1/2024,Feb-2025,336.01,-,222.97,34.00,POWER
535,N24001624,CONSTRUCTION OF EMERGENCY LANDING FACILITY FROM KM. 246.60 TO KM. 249.70 ON SRINAGAR - BANIHAL SECTI,NHAI,GOA,7-2019,10/2020,Apr-2023,157.05,-,139.54,100.00,POWER
536,N24001627,4L OF TWIN TUBE TUNNEL CONFIGURATION INCLUDING APPROACHES FROM MAROG TO DIGDOL (FROM KM.154.210 TO K,NHAI,GOA,7-2021,2/2025,May-2026,"1,912.17",-,129.05,N.A.,POWER
537,N24001833,JAMMU - AKHNOOR SECTION OF NH 144A PKG-3B,NHIDCL,GOA,7-2022,3/2025,-,198.28,-,85.39,71.09,POWER
538,N24001897,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13,BRO,GOA,3-2021,7/2024,Mar-2025,642.24,-,345.14,95.00,POWER
539,N24001898,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 30.000 TO K,BRO,GOA,7-2020,11/2024,-,272.49,-,133.66,87.24,POWER
540,N24001899,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 134.95 TO KM,BRO,GOA,2-2021,7/2024,-,395.25,-,140.42,64.00,POWER
541,N24001900,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 49.150 TO KM,BRO,GOA,3-2020,8/2024,-,796.97,-,323.85,79.00,POWER
542,N24001901,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 64.535 TO K,BRO,GOA,3-2020,9/2023,-,152.93,-,90.30,78.27,POWER
543,N24001926,CONSTRUCTION OF TWIN TUBE TUNNELS ON JAMMU KASHMIR RING ROAD (NH-244A) BETWEEN DESIGN CH. 50+600 TO,NHAI,GOA,3-2023,6/2025,-,939.86,-,475.07,64.93,POWER
544,N24001998,"CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER FROM (DESIGN CH. 14+200 TO 24+400), (DESIGN CH. 35+300 TO",BRO,GOA,6-2022,8/2025,-,832.46,-,227.50,46.00,POWER
545,N24002059,2L NH-1 FROM KM 8.660 TO KM 33.775 (SUMBAL TO WAYUL) TO 4L DUAL CARRIAGEWAY NH STANDARD AS PART OF S,NHAI,GOA,9-2022,6/2026,Jun-2026,"1,183.60",-,185.45,12.62,POWER
546,N24002060,DELHI AMRITSAR KATRA EXPRESSWAY (PHASE-II PKG XVIII) DEVELOPMENT AND UPGRADATION OF FOUR LANE ACCESS,NHAI,GOA,3-2023,11/2025,-,"1,107.00",-,338.69,38.38,POWER
547,N24002061,4/6L ACCESS CONTROL EXPRESSWAY FROM DESIGN CHAINAGE KM 515.000 TO 528.300 (KUNJWANI TO SIDHRA SECTIO,NHAI,GOA,8-2022,6/2025,-,"2,474.47",-,923.64,38.20,POWER
548,N24002119,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM DESIGN CHAINAGE KM 162.800 TO KM,BRO,GOA,10-2022,1/2026,-,562.45,-,99.06,25.00,POWER
549,N24002179,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24,BRO,GOA,3-2023,7/2026,-,980.21,-,300.02,8.00,POWER
550,N24002180,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 166.100 TO KM,BRO,GOA,9-2021,7/2026,-,734.64,-,19.60,8.00,POWER
551,N24002185,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDERS (BARAMULLA BYPASS) GREENFIELD BYPASS FROM EXISTING CH. K,BRO,GOA,3-2023,9/2026,-,992.43,-,338.33,N.A.,POWER
552,N24002210,WIDENING AND STRENGTHENING OF RAFIABAD-KUPWARA-CHOWKIBAL- TANGDHAR-CHAMKOT (NH-701) ROAD FROM DESIGN,BRO,GOA,3-2024,5/2027,-,"1,404.94",-,0.00,N.A.,POWER
553,N06000087,RAJRAPPA RCE OCP ( 3.0 MTY),CCL,GOA,12-2009,3/2016,-,510.85,-,488.57,75.00,POWER
554,N06000096,MURAIDIH UG TURN-KEY PROJECT,BCCL,GOA,2-2011,4/2014,-,339.88,-,190.48,70.00,POWER
555,N06000098,MOONIDIH XV SEAM UG,BCCL,GOA,8-2011,3/2019,-,"1,230.27",-,605.99,81.00,POWER
556,N06000169,CHITRA EAST (RCE) OCP,ECL,GOA,8-2018,3/2026,Mar-2026,513.98,-,227.74,51.00,POWER
557,N06000186,TETARIAKHAR EXPANSION OCP,CCL,GOA,11-2019,3/2023,-,243.52,-,44.64,24.00,POWER
558,N06000193,PACHWARA SOUTH COAL BLOCK,NLC,GOA,7-2013,9/2028,-,"2,242.92","2,242.90",687.46,54.00,POWER
559,N06000194,PATHERDIH 2.5 NLW COAL WASHERY,BCCL,GOA,10-2015,4/2018,-,334.27,-,135.86,45.05,POWER
560,N06000216,REVISED PROJECT REPORT MAGADH EXPANSION OCP,CCL,GOA,8-2020,3/2028,-,"7,254.37",-,"1,500.33",38.00,POWER
561,N06000217,EXPANSION PROJECT AMRAPALI OCP,CCL,GOA,8-2020,3/2028,-,"5,136.15",-,"1,082.09",41.00,POWER
562,N06000218,UCE OF EPR OF NORTH URIMARI OCP,CCL,GOA,7-2021,3/2029,-,778.80,-,694.11,75.00,POWER
563,N06000237,KOTRE BASANTPUR PACHMO OCP,CCL,GOA,8-2020,3/2032,-,625.40,625.40,441.24,41.00,POWER
564,N06000238,CHANDRAGUPT OCP,CCL,GOA,8-2020,3/2032,-,973.50,-,339.32,12.40,POWER
565,N06000239,SIRKA OCP,CCL,GOA,5-2020,3/2028,-,222.82,-,139.31,60.00,POWER
566,N06000240,JHARKHAND LAIYO OCP,CCL,GOA,8-2020,3/2031,-,764.57,-,145.80,28.00,POWER
567,N06000241,EPR TAPIN SOUTH OCP,CCL,GOA,11-2020,3/2028,-,230.41,-,21.12,18.30,POWER
568,N06000242,EPR PUNDI OCP,CCL,GOA,11-2020,3/2027,-,713.35,-,236.57,21.00,POWER
569,N06000243,EPR ROHINI KARKATA OCP,CCL,GOA,1-2021,3/2028,-,"1,020.42",-,83.44,11.70,POWER
570,N06000245,EXPANSION OF KONAR OCP,CCL,GOA,1-2022,3/2032,-,799.34,-,416.73,32.00,POWER
571,N06000246,EXPANSION OF KARO OCP,CCL,GOA,1-2022,3/2029,-,908.47,-,217.68,21.00,POWER
572,N06000247,EXPANSION OF ASHOK OCP,CCL,GOA,5-2021,3/2028,-,"2,898.28",-,176.50,20.00,POWER
573,N06000273,AMALGAMATED NTST KUJAMA OCP 8.5 MTY,BCCL,GOA,1-2023,3/2030,-,"4,011.85",-,397.65,25.00,POWER
574,N06000275,HURA C OC,ECL,GOA,8-2022,3/2029,-,859.41,-,448.60,62.00,POWER
575,N06000280,CHUPERBHITA- SIMLONG OCP,ECL,GOA,12-2023,3/2037,Mar-2037,979.08,-,0.00,N.A.,POWER
576,N06000287,BLOCK-E OCP (15 MTY),BCCL,GOA,3-2024,3/2029,-,"5,850.83",-,5.85,2.00,POWER
577,N28000067,2000 BOYS HOSTEL(1000 DOUBLE BEDDED ROOM) AT ISM DHANBAD,CPWD EDUCATION,GOA,9-2012,3/2016,-,171.86,-,174.48,N.A.,DEPARTMENT
578,N16000445,DEVELOPMENT OF JHARIA CBM BLOCK (PHASE-1),ONGC,GOA,11-2019,1/2024,Mar-2025,431.00,-,194.40,57.90,PETROLEUM
579,N16000480,LAYING OF NATURAL GAS PIPELINE FROM HAZARIBAGH TO RANCHI,IOCL,GOA,3-2023,2/2026,-,202.07,-,52.94,42.91,PETROLEUM
580,N16000497,CGD PROJECT IN BIHAR JHARKHAND,HPCL,GOA,6-2022,6/2030,-,"1,377.00",-,277.81,22.60,PETROLEUM
581,N18000177,NORTH KARANPURA STPP (3X660 MW),NTPC,GOA,2-2014,6/2019,Oct-2022,"16,242.90",-,"16,745.68",98.00,POWER
582,N18000275,PATRATU STPP-I (3X800MW),NTPC,GOA,11-2017,3/2023,-,"17,112.00",-,"16,305.18",81.00,POWER
583,N18000367,BADAM COAL MINING PROJECT,NTPC,GOA,2-2019,10/2024,Apr-2027,501.79,784.39,305.97,59.79,POWER
584,N18000370,KERANDARI COAL MINING PROJECT,NTPC,GOA,9-2015,11/2019,Mar-2025,"1,553.00","2,896.64","2,086.52",64.00,POWER
585,220100305,"KODERMA-TILAIYA (NL), ECR",ECR,GOA,4-2002,3/2023,-,"1,625.87","1,625.87","2,013.59",80.00,POWER
586,N22000396,BONDAMUNDA RANCHI DOUBLING,SER,GOA,3-2016,6/2024,-,"3,029.04","3,029.04","2,390.21",84.00,POWER
587,N22000508,LODHMA TO PISKA LINK LINE BY PASSING HATIA/RANCHI WITH Y CONNECTION (17.2 KM),SER,GOA,4-2018,6/2026,-,501.52,-,275.86,4.00,POWER
588,N22000529,DOUBLING OF PRADHANKHUNTA JN - PATHERDIH BAZAR-BHOJUDIH,ECR,GOA,11-2022,11/2027,-,202.00,349.22,64.10,2.00,POWER
589,N22000595,KHARAGPUR-ADITYAPUR - 3RD LINE (132 KM),RVNL,GOA,12-2015,3/2025,-,"3,249.98",-,"2,899.45",N.A.,POWER
590,N22000599,3RD LINE BETWEEN DHANBAD SONNAGAR,RVNL,GOA,11-2016,3/2026,-,"8,975.00",-,"4,705.38",N.A.,POWER
591,N22000610,GARHWA ROAD - RAIL OVER RAIL,ECR,GOA,3-2017,6/2024,-,262.71,-,226.43,70.00,POWER
592,N22000611,GOMOH - FLYOVER FOR DOWN TRAINS,ECR,GOA,1-2018,3/2023,-,686.03,-,399.45,45.00,POWER
593,N24000726,SIX LANING OF BIHAR - JHARKHAND BORDER (CHORDAHA) TO GORHAR SECTION,NHAI,GOA,1-2018,11/2021,May-2026,"1,155.16",-,657.82,73.00,POWER
594,N24001216,WIDENING TO 2 LANE WITH PAVED SHOULDERS AND GEOMETRIC IMPROVEMENT OF NH-114A FROM KM 141 TO KM 184 I,MoRTH,GOA,12-2016,9/2021,-,196.00,-,164.21,90.10,POWER
595,N24001589,HARIHARGANJ TO PARWA MODE SECTION FROM KM 23.284 TO KM 57.049 OF NH-98,NHAI,GOA,9-2020,3/2024,Dec-2024,755.26,-,624.66,87.00,POWER
596,N24001590,4L FROM KM 196.87 (SANKHA) TO KM 219.6 (KHAJURI) ON NH-75 [REHLA / GARHWA BYPASS],NHAI,GOA,9-2020,10/2023,Dec-2024,748.99,-,831.75,100.00,POWER
597,N24001594,ELEVATED CORRIDOR IN RANCHI CITY FROM KM 0.00 TO KM 3.260 OF NH-75 INCLUDING DOWN RAMP ON NH-23 FROM,NHAI,GOA,2-2022,1/2025,Mar-2025,534.73,-,205.31,98.00,POWER
598,N24001595,4L OF PALMA TO GUMLA SECTION OF NH23 FROM KM. 26.00 TO KM. 89.170 ON HAM MODE IN THE STATE OF JHARKH,NHAI,GOA,8-2020,3/2024,Jun-2025,"1,034.00","1,879.55",41.50,96.61,POWER
599,N24001596,4L OF MIRZA CHAUKI TO FARKKA SECTION OF NH80 FROM KM 215.00 TO KM 260.00 ON HAM MODE IN THE STATE OF,NHAI,GOA,11-2021,7/2023,Jun-2025,"1,302.72","1,504.80",875.97,71.40,POWER
600,N24001854,FOUR LANING WITH PAVED SHOULDER OF SECTION FROM KM 53.600 (GOLA ON NH- 320) TO KM 81.446 (ORMANJHI ON,NHAI,GOA,6-2023,6/2025,-,"1,214.93","1,324.95",808.69,73.00,POWER
601,N24001922,WIDENING TO 2-LANE WITH PAVED SHOULDER FROM KM 0.00 TO 44.00 (KURU- GHAGHRA SECTION) OF NH-143A INCLU,MoRTH,GOA,2-2020,8/2023,-,153.01,-,83.63,96.23,POWER
602,N24001923,WIDENING AND STRENGTHENING OF EXISTING PAVEEMNT TO TWO LANE WITH PAVED SHOULDERS FROM KM 116.00 TO K,MoRTH,GOA,1-2022,7/2024,-,315.21,-,117.26,80.00,POWER
603,N24001924,WIDENING AND STRENGTHENING TO TWO LANE WITH PAVED SHOULDER/TWO LANE+ PAVED SHOULDER WITH SERVICE ROA,MoRTH,GOA,3-2022,8/2025,-,514.22,-,15.19,6.10,POWER
604,N24001925,WIDENING AND STRENGTHENING/RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDER/ TWO LANE WITH PAVED SHOUL,MoRTH,GOA,3-2022,8/2025,-,423.18,-,0.11,N.A.,POWER
605,N24002053,FOUR LANING OF KHAJURI TO WYNDHAMGANJ FROM KM 219.600 TO KM 260.483 ON NH-75 PKG SEC-V ON HAM,NHAI,GOA,4-2022,9/2025,-,"1,232.00","1,343.00",606.60,78.50,POWER
606,N24002054,FOUR LANING OF BHOGU TO SANKHA FROM KM 147.450 TO KM 196.870 ON NH-75 PKG SEC-III,NHAI,GOA,10-2022,11/2025,-,"1,390.77","1,391.00",303.00,70.00,POWER
607,N24002055,FOUR LANING OF BASUKINATH-DEOGHAR SECTION OF NH-114A FROM KM 85.081 TO KM 130.240 UNDER NHDP PHASE-I,NHAI,GOA,3-2023,12/2025,-,"1,444.94",-,0.00,N.A.,POWER
608,N24002056,BHARATMALA PARIYOJANA OF BOKARO JAINA MORE - GOLA SECTION OF NH-320 FROM KM. 21.110 TO KM. 53.600 IN,NHAI,GOA,6-2020,6/2025,-,964.64,-,432.70,60.24,POWER
609,N24002057,FOUR LANING OF MEHGAMA HANSDIHA SECTION OF NH-33 FROM EXISTING KM 41.900 TO 93.000 IN THE STATE OF J,NHAI,GOA,12-2022,5/2025,-,"1,443.77",-,0.00,N.A.,POWER
610,N12000095,NEW SINTER PLANT AT BOKARO STEEL PLANT,SAIL,GOA,3-2015,10/2017,Nov-2026,"1,034.01","1,752.30",874.75,51.75,POWER
611,N12000129,REVAMPING OF OLD SUB SYSTEM OF BLAST FURNACE 3 AT BOKARO STEEL PLANT,SAIL,GOA,9-2023,7/2025,Nov-2025,513.82,-,179.29,64.00,POWER
612,N12000133,REBUILDING OF COKE OVEN BATTERY NO.6 OF BOKARO STEEL PLANT,SAIL,GOA,11-2023,11/2026,-,627.31,-,84.56,33.00,POWER
613,N12000135,REPLACEMENT OF REMAINING 04 NOS. OF BATTERY CYCLONES WITH 04 NOS. OF ESPS IN SINTER PLANT-1 AT BSL,SAIL,GOA,3-2024,6/2026,-,260.37,-,42.86,12.00,POWER
614,N12000142,REPLACEMENT OF EXISTING GRINDERS IN CRM-I & II AT BOKARO STEEL PLANT,SAIL,GOA,1-2025,1/2027,-,211.94,-,0.00,N.A.,POWER
615,N12000143,SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II AT BOKARO STEEL PLANT,SAIL,GOA,1-2025,10/2026,-,207.13,-,0.00,1.00,POWER
616,N04000105,BELAGAVI AIRPORT- EXPANSION OF TERMINAL BUILDING AND ASSOCIATED WORKS,AAI,GOA,6-2023,2/2026,-,322.45,-,95.91,40.00,"CIVIL
AVIATION"
617,N04000108,HUBBALI AIRPORT - CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS,AAI,GOA,6-2023,2/2026,-,320.47,-,50.51,27.50,"CIVIL
AVIATION"
618,N42000006,"CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY, DHARWAD (PHASE 1A)",CPWD EDUCATION,GOA,7-2019,3/2022,Jun-2025,851.00,930.36,918.06,99.00,DEPARTMENT
619,N42000010,ADDITIONAL INFRASTRUCTURE AT IISC BANGALORE SH RCC MONOLITHIC FOR MEN WOMEN HOSTEL,CPWD,GOA,8-2021,2/2024,Nov-2024,316.25,-,281.32,91.00,"OF HIGHER
EDUCATION"
620,N16000369,CONSTRUCTION OF 80000MT LPG CAVERN AT MANGALORE,HPCL,GOA,12-2018,12/2022,Aug-2025,854.00,854.00,696.35,99.50,PETROLEUM
621,N16000437,"REVAMPING, AUGMENTATION OF FACILITIES AT EXISTING PORT TERMINAL AT MANGALORE",IOCL,GOA,1-2022,7/2025,Dec-2025,463.00,500.62,241.69,71.10,PETROLEUM
622,N16000509,POWER SYSTEM UPGRADATION PROJECT,MANGALORE REFIN,GOA,10-2023,2/2026,-,385.00,-,122.13,56.88,PETROLEUM
623,N16000536,DEMO PLANT FOR PRODUCTION OF BIO- ATF,MANGALORE REFIN,GOA,3-2024,3/2027,-,364.00,-,16.85,6.60,PETROLEUM
624,N18000385,TS FOR INTRGRATION OF RE ZONE (PHASE II) IN KOPPAL II (PHASE A and B) AND GADAG II (PHASE A) IN KARN,PGCIL,GOA,12-2023,12/2025,-,"2,889.00",-,891.98,28.50,PETROLEUM
625,N18000388,"TS FOR SOLAR ENERGY ZONE IN BIDAR (2500MW), KARNATAKA [BIDAR TRANSMISSION LTD]",PGCIL,GOA,2-2024,2/2026,-,"2,148.00",-,846.60,43.80,PETROLEUM
626,N18000409,SYSTEM STRENGTHENING AT KOPPAL-II AND GADAG-II FOR INTEGRATION OF RE GENERATION PROJECTS,PGCIL,GOA,1-2025,1/2027,-,"1,354.00",-,0.00,N.A.,PETROLEUM
627,N18000410,AUGMENTATION OF TRANSFORMATION CAPACITY AT BIDAR PS,PGCIL,GOA,2-2025,2/2027,-,288.00,-,0.00,N.A.,PETROLEUM
628,N18000419,TRANSMISSION SCHEME FOR INTEGRATION OF DAVANAGERE / CHITRADURGA AND BELLARY REZ IN KARNATAKA,PGCIL,GOA,3-2025,3/2027,-,"3,453.00",-,0.00,N.A.,PETROLEUM
629,N22000256,TUMKUR-CHITRADURGA-DAVENGERE NL,SWR,GOA,4-2011,3/2019,-,"1,876.00",-,498.03,12.00,PETROLEUM
630,N22000258,BAGALKOT-KUDACHI NL,SWR,GOA,4-2010,3/2027,-,"1,378.00","1,378.00",643.99,34.00,PETROLEUM
631,N22000297,HOSPET-HUBLI-LONDA-VASCODAGAMA DL,RVNL,GOA,4-2010,3/2027,-,"5,060.36",-,"3,505.49",N.A.,PETROLEUM
632,N22000299,GADAG-WADI NL,SWR,GOA,4-2013,3/2027,-,"2,841.84",-,"1,306.74",29.00,PETROLEUM
633,N22000308,MARIKUPPAM - KUPPAM,SWR,GOA,4-2012,3/2016,-,279.54,296.72,121.12,14.00,PETROLEUM
634,N22000486,KADUR CHIKMAGALUR SAKLESHPUR NEW LINE (93 KM),SWR,GOA,3-1996,6/2025,-,825.31,825.31,687.05,83.00,PETROLEUM
635,N22000542,BAIYYAPPANAHALLI-HOSUR (48 KM),NCRTC,GOA,4-2019,3/2026,-,375.67,-,0.00,N.A.,PETROLEUM
636,N22000543,YESHVANTHPUR-CHANNASANDRA (21.7 KM),NCRTC,GOA,4-2019,3/2026,-,169.65,-,71.75,N.A.,PETROLEUM
637,N22000557,BELGAUM-DHARWAD VIA KITTUR (73.10 KM) (UMBRELLA WORK PB#22/2019-20/NR),SWR,GOA,9-2020,12/2027,-,"1,590.80",927.42,0.75,N.A.,PETROLEUM
638,N22000558,HASSAN (ALUR) - BELUR (32 KM) (UMBRELLA WORK PB#23/2018-19/NR),SWR,GOA,6-2019,4/2028,-,748.86,748.85,0.88,1.00,PETROLEUM
639,N22000559,SHIMOGA-SHIKARIPURA-RANEBENNUR (UMBRELLA WORK PB#23/2018-19/NR),SWR,GOA,9-2019,12/2027,-,"1,453.73",994.47,80.24,7.00,PETROLEUM
640,N22000621,BANGALORE-WHITEFIELD-BANGALORE CITY-KRISHNARAJAPURAM QUADRUPLING,SWR,GOA,3-2018,6/2025,-,492.87,492.87,251.52,75.00,PETROLEUM
641,N24000334,STRENGTHENING AND WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM.106.00 TO 153.00 OF NH-218 BIJAP,MoRTH,GOA,3-2015,11/2015,Aug-2024,165.67,-,126.47,98.99,PETROLEUM
642,N24000462,4-LANING OF GOA/KARNATAKA BORDER- KUNDAPUR SECTION,NHAI,GOA,7-2012,8/2016,Jan-2020,"1,655.01","1,990.99","1,818.50",97.80,PETROLEUM
643,N24001156,WIDENING TO TWO LANE WITH PAVED SHOULDER FROM KM 544.200 TO KM 594.000 OF NH-150A HOSMANE CROSS ? PA,MoRTH,GOA,1-2017,9/2017,May-2023,166.67,-,192.08,100.00,PETROLEUM
644,N24001157,IMPROVEMENTS AND RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM KM 243.20 TO KM 290.20 OF NH,MoRTH,GOA,8-2016,2/2017,Jul-2024,175.50,-,178.73,90.01,PETROLEUM
645,N24001158,RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM DS. CH. 442+180 (EX. KM 448.00) TO DS. CH.485+2,MoRTH,GOA,3-2018,6/2019,Dec-2023,159.97,-,113.15,100.00,PETROLEUM
646,N24001159,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 20.150 TO KM 40.00 OF BC ROAD KOTTIGEHARA SECTION,MoRTH,GOA,1-2018,7/2018,-,159.70,-,142.88,100.00,PETROLEUM
647,N24001160,WIDENING TO TWO LANE WITH PAVED SHOULDER FROM KM 194.900 TO KM 243.200 OF NH-234 BANAVARA-HULIYAR,MoRTH,GOA,9-2017,10/2018,Apr-2022,191.60,-,112.01,100.00,PETROLEUM
648,N24001161,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM 24.600 TO 70.063 OF MUDIGERE TO KADUR SECTION OF NH-,MoRTH,GOA,12-2017,1/2019,Apr-2022,297.30,-,277.27,100.00,PETROLEUM
649,N24001162,IMPROVEMENT AND RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM KM 489.845 (NEW KM.58.125) AN,MoRTH,GOA,3-2018,10/2018,Nov-2022,325.86,-,356.76,100.00,PETROLEUM
650,N24001164,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM KM 0 TO 54 OF NH-50 UNDER EPC MODE IN THE STATE OF KARN,MoRTH,GOA,10-2016,3/2017,Jul-2022,396.96,-,329.58,100.00,PETROLEUM
651,N24001165,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM KM 34.00 TO 70.900 OF NH-150 UNDER EPC MODE IN THE STAT,MoRTH,GOA,11-2016,3/2017,Oct-2021,314.90,-,233.95,100.00,PETROLEUM
652,N24001166,WIDENING TWO LANE WITH PAVED SHOULDERS FROM FROM KM.56.00 TO 106.00 OF NH-218 (218-KNT-2014-15-775),MoRTH,GOA,3-2015,1/2016,-,159.12,-,127.72,98.00,PETROLEUM
653,N24001168,ESTIMATE FOR WIDENING TWO LANE TO FOUR LANE FROM FROM KM.129.00 TO 144.00 OF NH-63 ANKOLA-GOOTY SECT,MoRTH,GOA,5-2018,5/2018,Dec-2023,171.60,-,129.72,100.00,PETROLEUM
654,N24001172,WIDENING TO TWO LANE WITH PAVED SHOULDER FROM KM 4.40 TO KM 56.00 OF NH-218 BIJAPURA-HUBLI SECTION U,MoRTH,GOA,1-2017,8/2017,-,291.49,-,238.77,100.00,PETROLEUM
655,N24001173,CONSTRUCTION OF MAJOR BRIDGE AT KM 180.865 ACROSS RIVER KRISHNA ON NH- 167 HAGARI ? JADERCELA SECTION,MoRTH,GOA,2-2017,5/2019,-,157.32,188.00,43.16,60.00,PETROLEUM
656,N24001387,WIDENING TO 2-LANE WIH PAVED SHOULDER FROM KM. 544.20 TO 594.00 (HOSAMANE CROSS TO PANDAVAPURA) SECT,MoRTH,GOA,1-2017,9/2017,May-2023,264.34,-,201.07,100.00,PETROLEUM
657,N24001388,CONSTRUCTION OF MAJOR BRIDGE ACROSS SHARAVATHI BACKWATERS AND APPROCHES BETWEEN AMBARGODU AND KALASA,MoRTH,GOA,3-2019,12/2019,Nov-2024,423.15,-,268.97,82.00,PETROLEUM
658,N24001425,4L OF ADDAHOLE TO BANTWAL CROSS SECTION INCLUDING FLYOVER AT KALLADKA TOWN,NHAI,GOA,3-2021,11/2021,Nov-2025,"1,100.88","1,687.31","1,149.04",80.28,PETROLEUM
659,N24001426,4L OF ADDAHOLE TO BANTWAL CROSS SECTION,NHAI,GOA,3-2021,10/2021,Jun-2025,317.90,572.01,370.84,98.00,PETROLEUM
660,N24001598,6L FROM SANKESHWAR BYPASS TO MH KNT BORDER FROM KM. 555.017 TO KM. 592.853 OF NH-48 (PKG II),NHAI,GOA,1-2022,4/2025,Apr-2025,"1,388.70","1,388.70",438.61,62.50,PETROLEUM
